Titles,ShelterName,Provider,Facility,DHS Building ID,Facility Type,Borough,Landlord,Open Violations,New Violations,Closed Violations,Total Open Violations ,location,latitude,longitude
"TAYLOR FAMILY RESIDENCE, URBAN RESOURCE INSTITUTE, Family Shelter",TAYLOR FAMILY RESIDENCE, URBAN RESOURCE INSTITUTE, Family Shelter,1042.0,Family Shelter,Bronx,CONCOURSE HOUSE HDFC,0.0,1.0,0.0,1.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"ST PETERS AVENUE ACACIA RESID, Acacia Network Housing, Family Shelter",ST PETERS AVENUE ACACIA RESID, Acacia Network Housing, Family Shelter,419076.0,Family Shelter,Bronx,X BOYNTON LLC,2.0,0.0,2.0,0.0,{'lat': 40.8407018 'lng': -73.847792},40.8407018,-73.847792
"Morris Park Family Residence, New Hope Transitional Housing Inc., Family Shelter",Morris Park Family Residence, New Hope Transitional Housing Inc., Family Shelter,486656.0,Family Shelter,Bronx,1101 HOLDING LLC,1.0,0.0,1.0,0.0,{'lat': 40.850332 'lng': -73.8513735},40.850332,-73.8513735
"Bronxwood Family Residence, Westhab, Inc",Bronxwood Family Residence, Westhab, Inc,500597.0,Family Shelter,Bronx,X TAYLOR HOLDINGS,1.0,0.0,0.0,1.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"WILLIAMSBRIDGE FAMILY INN, Homes For The Homeless, Family Shelter",WILLIAMSBRIDGE FAMILY INN, Homes For The Homeless, Family Shelter,1131.0,Family Shelter,Bronx,"SAINTS TOWER, LLC",0.0,0.0,0.0,0.0,{'lat': 40.8787602 'lng': -73.85283559999999},40.8787602,-73.8528356
"TOWN AND COUNTRY, Westhab Inc, Family Shelter",TOWN AND COUNTRY, Westhab Inc, Family Shelter,490650.0,Family Shelter,Bronx,X MORRIS PARK LLC  ,0.0,0.0,0.0,0.0,{'lat': 40.88189750000001 'lng': -73.8282021},40.8818975,-73.8282021
"CRYSTAL'S PLACE, Acacia Network Housing, Family Shelter",CRYSTAL'S PLACE, Acacia Network Housing, Family Shelter,557570.0,Family Shelter,Bronx,"BP TLDN , LLC",0.0,0.0,0.0,0.0,{'lat': 40.749825 'lng': -73.8662137},40.749825,-73.8662137
"HALL FAMILY RESIDENCE, New Hope Transitional Housing Inc., Family Shelter",HALL FAMILY RESIDENCE, New Hope Transitional Housing Inc., Family Shelter,1052.0,Family Shelter,Bronx,"HOMES FOR THE HOMELESS INSTITUTE, I",0.0,0.0,0.0,0.0,{'lat': 40.82683470000001 'lng': -73.9153822},40.8268347,-73.9153822
"POWERS, WOMEN IN NEED INC, Family Shelter",POWERS, WOMEN IN NEED INC, Family Shelter,1066.0,Family Shelter,Bronx,BROADWAY BRONX MOTEL LLC,0.0,0.0,0.0,0.0,{'lat': 40.8792538 'lng': -73.8798511},40.8792538,-73.8798511
"GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter",GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter,1166.0,Family Shelter,Bronx,CAPRI WHITESTONE LLC,0.0,1.0,1.0,0.0,{'lat': 40.8342872 'lng': -73.9013247},40.8342872,-73.9013247
"HELP - BRONX MORRIS, HELP USA, Family Shelter",HELP - BRONX MORRIS, HELP USA, Family Shelter,1390.0,Family Shelter,Bronx,X HALL PLACE LLC,0.0,0.0,0.0,0.0,{'lat': 40.84071549999999 'lng': -73.8910779},40.8407155,-73.8910779
"ICAHN HOUSE, Children's Rescue Fund LLC, Family Shelter",ICAHN HOUSE, Children's Rescue Fund LLC, Family Shelter,5552.0,Family Shelter,Bronx,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.8341614 'lng': -73.9203594},40.8341614,-73.9203594
"SIENA HOUSE, Tolentine Zeiser Community Life Center, Family Shelter",SIENA HOUSE, Tolentine Zeiser Community Life Center, Family Shelter,1133.0,Family Shelter,Bronx,THE BRONX APARTMENTS LLC,0.0,0.0,0.0,0.0,{'lat': 40.8386194 'lng': -73.9238426},40.8386194,-73.9238426
"URI STRIVE RESIDENCE, URBAN RESOURCE INSTITUTE, Family Shelter",URI STRIVE RESIDENCE, URBAN RESOURCE INSTITUTE, Family Shelter,1039.0,Family Shelter,Bronx,HELP BRONX LP,0.0,0.0,0.0,0.0,{'lat': 40.8090588 'lng': -73.9612214},40.8090588,-73.9612214
"KETTY'S PLACE II, Acacia Network Housing, Family Shelter",KETTY'S PLACE II, Acacia Network Housing, Family Shelter,1046.0,Family Shelter,Bronx,CHILDREN'S RESCUE FUND,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"HELP - BRONX CROTONA, HELP USA, Family Shelter",HELP - BRONX CROTONA, HELP USA, Family Shelter,1037.0,Family Shelter,Bronx,RC CH SACRED HEART,0.0,0.0,0.0,0.0,{'lat': 40.84071549999999 'lng': -73.8910779},40.8407155,-73.8910779
"CARMEN'S RESIDENCE, Acacia Network Housing, Family Shelter",CARMEN'S RESIDENCE, Acacia Network Housing, Family Shelter,571907.0,Family Shelter,Bronx,HRCO LLC,0.0,0.0,0.0,0.0,{'lat': 40.8182622 'lng': -73.91611879999999},40.8182622,-73.9161188
"JACKIE'S PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter",JACKIE'S PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter,1145.0,Family Shelter,Bronx,"X EAST 140, LLC  ",0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"SOUTH BRONX RESIDENCE, BRONX FAMILY NETWORK INC, Family Shelter",SOUTH BRONX RESIDENCE, BRONX FAMILY NETWORK INC, Family Shelter,1040.0,Family Shelter,Bronx,H E L P BRONX L P,0.0,0.0,0.0,0.0,{'lat': 40.81767000000001 'lng': -73.91842609999999},40.81767,-73.9184261
"BROADWAY FAMILY PLAZA, Praxis Housing Initiatives Inc., Family Shelter",BROADWAY FAMILY PLAZA, Praxis Housing Initiatives Inc., Family Shelter,1164.0,Family Shelter,Bronx,TYLERS DIMES LLC,0.0,3.0,1.0,2.0,{'lat': 40.8801437 'lng': -73.903939},40.8801437,-73.903939
"The Park Residence, CAMBA, Family Shelter",The Park Residence, CAMBA, Family Shelter,94476.0,Family Shelter,Bronx,BRONX LIVING LLC,1.0,1.0,0.0,2.0,{'lat': 40.8949584 'lng': -73.89689659999999},40.8949584,-73.8968966
"Edward L. Grant, Westhab Inc, Family Shelter",Edward L. Grant, Westhab Inc, Family Shelter,1385.0,Family Shelter,Bronx,X SOUTHERN BOULEVARD LLC  ,2.0,0.0,2.0,0.0,{'lat': 40.8404377 'lng': -73.9216838},40.8404377,-73.9216838
"CAMBA EVERGREEN, CAMBA, Family Shelter",CAMBA EVERGREEN, CAMBA, Family Shelter,184892.0,Family Shelter,Bronx,X  BROADWAY DEVELOP,1.0,0.0,1.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"ALLIES PLACE, Homes For The Homeless, Family Shelter",ALLIES PLACE, Homes For The Homeless, Family Shelter,203032.0,Family Shelter,Bronx,X PARK DEVELOPMENT,0.0,0.0,0.0,0.0,{'lat': 40.8157287 'lng': -73.86888549999999},40.8157287,-73.8688855
"CHRISTOPHERS PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter",CHRISTOPHERS PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter,212778.0,Family Shelter,Bronx,X ELG DEVELOPMENT,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"Anchor Family Shelter, SERVICES FOR THE UNDERSERVED, Family Shelter",Anchor Family Shelter, SERVICES FOR THE UNDERSERVED, Family Shelter,353792.0,Family Shelter,Bronx,,0.0,0.0,0.0,0.0,{'lat': 40.8220329 'lng': -73.93046559999999},40.8220329,-73.9304656
"SANDRA'S FAMILY RESIDENCE, BRONX PARENT HOUSING NETWORK, Family Shelter",SANDRA'S FAMILY RESIDENCE, BRONX PARENT HOUSING NETWORK, Family Shelter,234752.0,Family Shelter,Bronx,X FOR THE HOMELESS INSTITUTE INC.,0.0,0.0,0.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"VICTOR'S FAMILY RESIDENCE, BRONX PARENT HOUSING NETWORK, Family Shelter",VICTOR'S FAMILY RESIDENCE, BRONX PARENT HOUSING NETWORK, Family Shelter,223532.0,Family Shelter,Bronx,X WASHINGTON AVENUE LLC,0.0,0.0,0.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"Intervale Rapid Re-Housing Center, Westhab Inc, Family Shelter",Intervale Rapid Re-Housing Center, Westhab Inc, Family Shelter,224769.0,Family Shelter,Bronx,X 178 ST DEVELOPMENT LLC,1.0,0.0,1.0,0.0,{'lat': 40.8249413 'lng': -73.896858},40.8249413,-73.896858
"ECHO FAMILY RESIDENCE, SERVICES FOR THE UNDERSERVED, Family Shelter",ECHO FAMILY RESIDENCE, SERVICES FOR THE UNDERSERVED, Family Shelter,155906.0,Family Shelter,Bronx,RYANS PROMPTNESS LLC,3.0,0.0,3.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"LAFAYETTE FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter",LAFAYETTE FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter,60449.0,Family Shelter,Bronx,"TYLER'S PLACE, LLC",1.0,0.0,1.0,0.0,{'lat': 40.8209965 'lng': -73.8641093},40.8209965,-73.8641093
"KINGSTON FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter",KINGSTON FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter,422913.0,Family Shelter,Bronx,X INT AVE LLC,0.0,0.0,0.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"PACIFIC PLACE, URBAN RESOURCE INSTITUTE, Family Shelter",PACIFIC PLACE, URBAN RESOURCE INSTITUTE, Family Shelter,484609.0,Family Shelter,Bronx,X ECHO DEV LLC,1.0,0.0,1.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"KIANGA HOUSE, Brooklyn Neighborhood Improvement Assoc., Family Shelter",KIANGA HOUSE, Brooklyn Neighborhood Improvement Assoc., Family Shelter,185346.0,Family Shelter,Bronx,J&X LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"ST JOHNS FAM RESID, URBAN RESOURCE INSTITUTE, Family Shelter",ST JOHNS FAM RESID, URBAN RESOURCE INSTITUTE, Family Shelter,1566.0,Family Shelter,Brooklyn,X KINGSTON AVENUE REALTY LLC ,0.0,0.0,0.0,0.0,{'lat': 40.5963602 'lng': -73.97716369999999},40.5963602,-73.9771637
"ST JOHNS FAM RESID, URBAN RESOURCE INSTITUTE, Family Shelter",ST JOHNS FAM RESID, URBAN RESOURCE INSTITUTE, Family Shelter,1549.0,Family Shelter,Brooklyn,J14 LLC,1.0,0.0,0.0,1.0,{'lat': 40.5963602 'lng': -73.97716369999999},40.5963602,-73.9771637
"DEAN STREET, Urban Strategies Inc., Family Shelter",DEAN STREET, Urban Strategies Inc., Family Shelter,1204.0,Family Shelter,Brooklyn,KIANGA H H D F CO INC,0.0,2.0,0.0,2.0,{'lat': 40.6768827 'lng': -73.949845},40.6768827,-73.949845
"PROVIDENCE BROOKLYN, Providence House, Inc.",PROVIDENCE BROOKLYN, Providence House, Inc.,1208.0,Family Shelter,Brooklyn,ST. JOHN'S PL FAMILYCTR,4.0,2.0,3.0,3.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"PROVIDENCE BROOKLYN, Providence House Inc., Family Shelter",PROVIDENCE BROOKLYN, Providence House Inc., Family Shelter,1210.0,Family Shelter,Brooklyn,ST. JOHN'S PL FAMILYCTR,4.0,1.0,0.0,5.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"FLUSHING AVENUE, SCO Family Services, Family Shelter",FLUSHING AVENUE, SCO Family Services, Family Shelter,1202.0,Family Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.7019444 'lng': -73.9368489},40.7019444,-73.9368489
"STOCKHOLM FAM CENTER, SCO Family Services, Family Shelter",STOCKHOLM FAM CENTER, SCO Family Services, Family Shelter,1289.0,Family Shelter,Brooklyn,PROVIDENCE HOUSE INC,0.0,0.0,0.0,0.0,{'lat': 40.7025318 'lng': -73.9455112},40.7025318,-73.9455112
"BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter",BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter,1288.0,Family Shelter,Brooklyn,PROVIDENCE HOUSE INC,0.0,0.0,0.0,0.0,{'lat': 40.6749041 'lng': -73.904108},40.6749041,-73.904108
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1242.0,Family Shelter,Brooklyn,DWN MANAGEMENT INC,1.0,0.0,0.0,1.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1215.0,Family Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1247.0,Family Shelter,Brooklyn,PUTNAM EQUITIES LLC,0.0,0.0,0.0,0.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1278.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT WEST LLC,0.0,3.0,0.0,3.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1280.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT WEST LLC,0.0,4.0,0.0,4.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1282.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT WEST LLC,0.0,3.0,0.0,3.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1284.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT EAST LLC,0.0,3.0,0.0,3.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter",FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter,1283.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT EAST LLC,0.0,0.0,0.0,0.0,{'lat': 40.6656 'lng': -73.913298},40.6656,-73.913298
"URBAN STR(MATERNITY), Urban Strategies Inc., Family Shelter",URBAN STR(MATERNITY), Urban Strategies Inc., Family Shelter,1281.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT EAST LLC,0.0,0.0,0.0,0.0,{'lat': 40.630107 'lng': -74.00959},40.630107,-74.00959
"URB TR-FANNIE BARNES, Urban Strategies Inc., Family Shelter",URB TR-FANNIE BARNES, Urban Strategies Inc., Family Shelter,1279.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT EAST LLC,0.0,0.0,0.0,0.0,{'lat': 40.6603482 'lng': -73.9147639},40.6603482,-73.9147639
"LIBERTY AVE RESIDENCE, WOMEN IN NEED INC, Family Shelter",LIBERTY AVE RESIDENCE, WOMEN IN NEED INC, Family Shelter,1277.0,Family Shelter,Brooklyn,AMBOY DEVELOPMENT EAST LLC,0.0,0.0,0.0,0.0,{'lat': 40.678311 'lng': -73.869794},40.678311,-73.869794
"JUNIUS STREET FAMILY RESIDENCE, WOMEN IN NEED INC, Family Shelter",JUNIUS STREET FAMILY RESIDENCE, WOMEN IN NEED INC, Family Shelter,1205.0,Family Shelter,Brooklyn,U.S.BROWNSVILLE I HSNG D,0.0,0.0,0.0,0.0,{'lat': 40.6749041 'lng': -73.904108},40.6749041,-73.904108
"PENN HOUSE, Midway Living Inc, Family Shelter",PENN HOUSE, Midway Living Inc, Family Shelter,1214.0,Family Shelter,Brooklyn,NYC Owned (DHS),1.0,0.0,0.0,1.0,{'lat': 40.7467002 'lng': -73.998352},40.7467002,-73.998352
"VAN SICLEN FAM RES, Overcoming-Love Ministries, Family Shelter",VAN SICLEN FAM RES, Overcoming-Love Ministries, Family Shelter,1243.0,Family Shelter,Brooklyn,JUNIUS-LIBERTY DEVELOPMENT LLC,0.0,3.0,3.0,0.0,{'lat': 40.6623387 'lng': -73.8870151},40.6623387,-73.8870151
"SUS-ROSE MCCARTHY, SERVICES FOR THE UNDERSERVED, Family Shelter",SUS-ROSE MCCARTHY, SERVICES FOR THE UNDERSERVED, Family Shelter,1241.0,Family Shelter,Brooklyn,JUNIUS DEVELOPMENT LLC,0.0,0.0,0.0,0.0,{'lat': 40.66971059999999 'lng': -73.88139340000001},40.6697106,-73.8813934
"SUS-ROSE MCCARTHY, SERVICES FOR THE UNDERSERVED, Family Shelter",SUS-ROSE MCCARTHY, SERVICES FOR THE UNDERSERVED, Family Shelter,176384.0,Family Shelter,Brooklyn,DUTCH COUNTRY REALTY LLC,0.0,0.0,0.0,0.0,{'lat': 40.66971059999999 'lng': -73.88139340000001},40.6697106,-73.8813934
"SUS-ROSE MCCARTHY, SERVICES FOR THE UNDERSERVED, Family Shelter",SUS-ROSE MCCARTHY, SERVICES FOR THE UNDERSERVED, Family Shelter,1548.0,Family Shelter,Brooklyn,OVERCOMING LOVE MINIS,0.0,0.0,0.0,0.0,{'lat': 40.66971059999999 'lng': -73.88139340000001},40.6697106,-73.8813934
"WOODRUFF FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter",WOODRUFF FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter,185397.0,Family Shelter,Brooklyn,TBG VAN SICLEN LLC,0.0,0.0,0.0,0.0,{'lat': 40.6546283 'lng': -73.9610591},40.6546283,-73.9610591
"GLENWOOD RESIDENCE, WOMEN IN NEED INC, Family Shelter",GLENWOOD RESIDENCE, WOMEN IN NEED INC, Family Shelter,1291.0,Family Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.6352118 'lng': -73.9283483},40.6352118,-73.9283483
"BAY FAMILY CENTER, WOMEN IN NEED INC, Family Shelter",BAY FAMILY CENTER, WOMEN IN NEED INC, Family Shelter,9467.0,Family Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.58361110000001 'lng': -73.9338889},40.5836111,-73.9338889
"ARBOR INN, Brooklyn Community Housing Services, Family Shelter",ARBOR INN, Brooklyn Community Housing Services, Family Shelter,1546.0,Family Shelter,Brooklyn,MOSES FRIED,1.0,0.0,0.0,1.0,{'lat': 40.6573295 'lng': -73.9942423},40.6573295,-73.9942423
"BUSHWICK - VOA, Volunteers Of America, Family Shelter",BUSHWICK - VOA, Volunteers Of America, Family Shelter,1303.0,Family Shelter,Brooklyn,"NG X E 45TH, LLC",1.0,1.0,2.0,0.0,{'lat': 40.6844449 'lng': -73.912374},40.6844449,-73.912374
"BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter",BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter,1547.0,Family Shelter,Brooklyn,EMMONS DEVELOPMENT LLC,0.0,0.0,0.0,0.0,{'lat': 40.6749041 'lng': -73.904108},40.6749041,-73.904108
"BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter",BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter,1212.0,Family Shelter,Brooklyn,PASTORAL & EDUCATIONAL  SERVICES IN,1.0,5.0,4.0,2.0,{'lat': 40.6749041 'lng': -73.904108},40.6749041,-73.904108
"BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter",BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter,1285.0,Family Shelter,Brooklyn,NYC Owned (DHS),0.0,18.0,18.0,0.0,{'lat': 40.6749041 'lng': -73.904108},40.6749041,-73.904108
"LEGACY FAMILY RESIDENCE, Volunteers Of America, Family Shelter",LEGACY FAMILY RESIDENCE, Volunteers Of America, Family Shelter,1248.0,Family Shelter,Brooklyn,WILLOUGHBY AVENUE EQUITIES LLC,0.0,3.0,2.0,1.0,{'lat': 40.6561181 'lng': -73.8995577},40.6561181,-73.8995577
"THE KENSINGTON, CAMBA, Family Shelter",THE KENSINGTON, CAMBA, Family Shelter,1249.0,Family Shelter,Brooklyn,WILLOUGHBY AVENUE EQUITIES LLC,0.0,2.0,1.0,1.0,{'lat': 40.6482684 'lng': -73.9755615},40.6482684,-73.9755615
"MANOR, Midway Living Inc, Family Shelter",MANOR, Midway Living Inc, Family Shelter,1250.0,Family Shelter,Brooklyn,WILLOUGHBY AVENUE EQUITIES LLC,0.0,1.0,0.0,1.0,{'lat': 40.5863874 'lng': -73.9614495},40.5863874,-73.9614495
"TILDEN HALL FAMILY RESID, Highland Park Development Corp., Family Shelter",TILDEN HALL FAMILY RESID, Highland Park Development Corp., Family Shelter,561666.0,Family Shelter,Brooklyn,NYC Owned (DHS),0.0,1.0,0.0,1.0,{'lat': 40.6463483 'lng': -73.95339349999999},40.6463483,-73.9533935
"New York Family Residence, Home/Life Services Inc., Family Shelter",New York Family Residence, Home/Life Services Inc., Family Shelter,63489.0,Family Shelter,Brooklyn,1015/125 HOLDING LLC,0.0,0.0,0.0,0.0,{'lat': 40.6749041 'lng': -73.904108},40.6749041,-73.904108
"ALBEMARLE FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter",ALBEMARLE FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter,535041.0,Family Shelter,Brooklyn,MARCY TOWER LLC,0.0,39.0,26.0,13.0,{'lat': 40.647596 'lng': -73.953597},40.647596,-73.953597
"SHIRLEY CHISOLM, WOMEN IN NEED INC, Family Shelter",SHIRLEY CHISOLM, WOMEN IN NEED INC, Family Shelter,1245.0,Family Shelter,Brooklyn,X TILDEN FEE LLC,3.0,0.0,0.0,3.0,{'lat': 40.64036430000001 'lng': -73.8738655},40.6403643,-73.8738655
"Rosa Parks Family Residence, WOMEN IN NEED INC, Family Shelter",Rosa Parks Family Residence, WOMEN IN NEED INC, Family Shelter,494848.0,Family Shelter,Brooklyn,E.N.Y. PLAZA LLC,0.0,0.0,0.0,0.0,{'lat': 40.6664904 'lng': -73.9914181},40.6664904,-73.9914181
"MANOR, Midway Living Inc, Shelter",MANOR, Midway Living Inc, Shelter,1292.0,Family Shelter,Brooklyn,X ALBEMARIE ASSOCIATES LLC  ,2.0,0.0,2.0,0.0,{'lat': 40.5863874 'lng': -73.9614495},40.5863874,-73.9614495
"RACHEL'S PLACE, Samaritan Daytop Village, Family Shelter",RACHEL'S PLACE, Samaritan Daytop Village, Family Shelter,344064.0,Family Shelter,Brooklyn,X PROPERTIES INC,0.0,1.0,0.0,1.0,{'lat': 40.7242152 'lng': -73.9488753},40.7242152,-73.9488753
"GLENMORE FAMILY RESIDENCE, Providence House Inc., Family Shelter",GLENMORE FAMILY RESIDENCE, Providence House Inc., Family Shelter,500480.0,Family Shelter,Brooklyn,PARTNERS X OWR LLC,1.0,3.0,2.0,2.0,{'lat': 40.6749041 'lng': -73.904108},40.6749041,-73.904108
"PULASKI FAMILY RESIDENCE, Overcoming-Love Ministries, Family Shelter",PULASKI FAMILY RESIDENCE, Overcoming-Love Ministries, Family Shelter,535041.0,Family Shelter,Brooklyn,MARCY TOWER LLC,0.0,0.0,0.0,0.0,{'lat': 40.6930582 'lng': -73.9424181},40.6930582,-73.9424181
"Dr. McKinney Stewart (DMS), WOMEN IN NEED INC, Family Shelter",Dr. McKinney Stewart (DMS), WOMEN IN NEED INC, Family Shelter,159744.0,Family Shelter,Brooklyn,R C CH OF ST IQNATINS,0.0,0.0,0.0,0.0,{'lat': 40.7467155 'lng': -74.0024044},40.7467155,-74.0024044
"ST JOHNS FAM RESID, URBAN RESOURCE INSTITUTE, Shelter",ST JOHNS FAM RESID, URBAN RESOURCE INSTITUTE, Shelter,456192.0,Family Shelter,Brooklyn,GH LLC,1.0,38.0,38.0,1.0,{'lat': 40.5963602 'lng': -73.97716369999999},40.5963602,-73.9771637
"HELEN HOUSE, Henry Street Settlement, Family Shelter",HELEN HOUSE, Henry Street Settlement, Family Shelter,1555.0,Family Shelter,Brooklyn,OVERCOMING LOVE MINIS,0.0,0.0,0.0,0.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"HUNTINGTON HOUSE, Women's Prison Association, Family Shelter",HUNTINGTON HOUSE, Women's Prison Association, Family Shelter,499713.0,Family Shelter,Brooklyn,NEPT AVN LLC,0.0,0.0,0.0,0.0,{'lat': 40.6764149 'lng': -74.0010356},40.6764149,-74.0010356
"CHILDNS RESCUE FUND HOUSE EAST, Children's Rescue Fund LLC, Family Shelter",CHILDNS RESCUE FUND HOUSE EAST, Children's Rescue Fund LLC, Family Shelter,1209.0,Family Shelter,Brooklyn,ST. JOHN'S PL FAMILYCTR,3.0,0.0,3.0,0.0,{'lat': 40.7441652 'lng': -73.9868584},40.7441652,-73.9868584
"CLINTON FAMILY RESIDENCE, Homes For The Homeless, Family Shelter",CLINTON FAMILY RESIDENCE, Homes For The Homeless, Family Shelter,1317.0,Family Shelter,Manhattan,HENRY ST HSG DVLP FD,0.0,0.0,0.0,0.0,{'lat': 40.7637581 'lng': -73.9918181},40.7637581,-73.9918181
"WEST END INTRGENRATL, West End Residence HDFC Inc., Family Shelter",WEST END INTRGENRATL, West End Residence HDFC Inc., Family Shelter,1321.0,Family Shelter,Manhattan,HUNTINGTON HOUSE HDFC,11.0,1.0,1.0,11.0,{'lat': 40.787194 'lng': -73.97945299999999},40.787194,-73.979453
"JENNIE A CLARKE RES, WOMEN IN NEED INC, Family Shelter",JENNIE A CLARKE RES, WOMEN IN NEED INC, Family Shelter,1323.0,Family Shelter,Manhattan,NEW LATHAM HOTEL CORP,0.0,1.0,0.0,1.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"JENNIE A CLARKE RES, WOMEN IN NEED INC, Family Shelter",JENNIE A CLARKE RES, WOMEN IN NEED INC, Family Shelter,560385.0,Family Shelter,Manhattan,HOMES FOR THE HOMELES,0.0,1.0,0.0,1.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"JENNIE A CLARKE RES, WOMEN IN NEED, INC Family Shelter",JENNIE A CLARKE RES, WOMEN IN NEED, INC Family Shelter,1315.0,Family Shelter,Manhattan,WEST END INTGNRTNL ETC,13.0,0.0,13.0,0.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"JENNIE A CLARKE RES, WOMEN IN NEED INC, Family Shelter",JENNIE A CLARKE RES, WOMEN IN NEED INC, Family Shelter,1320.0,Family Shelter,Manhattan,NYC Owned (DHS),0.0,3.0,3.0,0.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
